,State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Hindus,Muslims,Age_Group_0_29,sex_ratio,literacy_rate
436,Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,2397888,2509,1985654,401678,1499494,98.0,62.0
437,Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,1379545,2404,1273546,101963,856336,86.0,67.0
438,Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,4613913,6652,3878626,718692,2930243,102.0,60.0
439,Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,1303048,2989,917474,364583,817140,86.0,61.0
440,Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,3487731,2681,2291892,1169330,2275746,89.0,40.0
441,Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,3239774,4672,3004240,213440,1975934,94.0,61.0
442,Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,2148665,1551,1333242,805975,1415213,93.0,40.0
443,Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,1799410,1655,1637549,157612,1120432,86.0,56.0
444,Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,3260699,3159,2505444,737106,2043335,91.0,52.0
445,Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,4448359,15164,2830768,1536534,2893965,89.0,49.0
446,Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,2464464,3423,2082976,364510,1574037,96.0,57.0
447,Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,3682713,7303,2032081,1585210,2404576,92.0,58.0
448,Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142,3499171,7865,2707195,777407,2246254,90.0,58.0
449,Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,1952756,3492,1727869,215081,1222695,92.0,60.0
450,Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,991730,827,955372,34559,638046,88.0,54.0
451,Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,3100946,4469,2730957,358539,1946336,102.0,60.0
452,Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,1774480,2635,1611126,146346,1149372,87.0,59.0
453,Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,1581810,2964,1457892,113961,979633,87.0,67.0
454,Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,2470996,4746,2094271,365806,1534832,96.0,59.0
455,Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,1885204,2624,1596278,276846,1224584,87.0,58.0
456,Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,2632733,3385,2274674,350700,1624830,90.0,57.0
457,Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,2498156,5834,2140745,314812,1621154,88.0,61.0
458,Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,1648115,53181,1394025,215500,1015648,85.0,68.0
459,Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,4681645,78116,3414427,1186776,2891069,88.0,67.0
460,Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,3620268,5309,3233790,368153,2234593,95.0,61.0
461,Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,3433919,4313,2739076,678615,2223078,92.0,49.0
462,Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,4440895,14597,4009037,403847,2755630,95.0,61.0
463,Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,4092845,3845,3508131,556219,2598364,87.0,54.0
464,Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,1689974,2217,1509708,171581,1002817,87.0,64.0
465,Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,4494204,8002,3981502,483750,2826453,102.0,61.0
466,Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,1998603,8517,1823930,147842,1171301,89.0,65.0
467,Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,1840221,2825,1075440,750368,1227283,91.0,53.0
468,Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,1656616,2488,1375788,273967,1069916,88.0,61.0
469,Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,1796184,2682,1612968,176327,1100820,86.0,65.0
470,Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,1599596,1503,1372381,220423,1034099,91.0,51.0
471,Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,3564544,3486,2928462,620244,2236842,96.0,55.0
472,Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,1221592,1079,1163804,33724,793551,91.0,52.0
473,Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,4589838,68506,3537787,985070,2678289,92.0,68.0
474,Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,875958,1316,815142,57454,527067,88.0,56.0
475,Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,1868529,2642,1746649,100723,1193660,88.0,64.0
476,Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,2547184,8726,2310776,216933,1600686,86.0,59.0
477,Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,2205968,2656,1769937,428555,1402738,98.0,62.0
478,Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,3443689,23717,2183255,1185643,2165117,89.0,62.0
479,Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,2496970,4447,2292534,195765,1590528,90.0,57.0
480,Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,4772006,11690,2488265,2248392,3168270,91.0,47.0
481,Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,4143512,10077,2382914,1711453,2671757,89.0,58.0
482,Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,2031007,2870,1449007,489686,1320476,89.0,52.0
483,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,867848,716,827293,25597,545987,98.0,46.0
484,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,3209141,5149,2731351,452394,2002569,100.0,60.0
485,Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,3405559,5184,2975998,413243,2116007,94.0,58.0
486,Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,2335819,3847,1073890,1181337,1576123,91.0,45.0
487,Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,9699,1966892,1454052,2228689,89.0,60.0
488,Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,2031,1300586,404410,1108368,97.0,56.0
489,Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,3889,2412595,527581,1961237,87.0,50.0
490,Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,3874,3555450,893725,2862383,89.0,51.0
491,Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,5149,1738769,103567,1203938,92.0,53.0
492,Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,5956,3119590,650261,2376875,98.0,59.0
493,Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,3476,2732016,363453,1893706,91.0,57.0
494,Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,19214,3107681,546987,2260457,91.0,65.0
495,Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,1830,611250,7752,351595,114.0,70.0
496,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,435,257509,1440,147488,109.0,69.0
497,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,899,385818,4395,229715,102.0,72.0
498,Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,548,249563,8693,156916,98.0,68.0
499,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,1344,475105,6015,273494,102.0,71.0
500,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,1366,609835,7374,368324,108.0,66.0
501,Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,7883,1104452,372267,1042614,92.0,63.0
502,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,602,324859,3554,202426,96.0,65.0
503,West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,4273,3033581,290450,1942335,96.0,62.0
504,West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,32323,6008472,1599764,4149420,95.0,68.0
505,West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,5210,2181515,1298054,2008655,96.0,62.0
506,West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,2518,1232850,412788,937283,96.0,65.0
507,West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,10943,1366681,105086,1031221,97.0,71.0
508,West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,30751,3535844,1270641,2587164,94.0,74.0
509,West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,31725,4574569,870204,2766489,96.0,74.0
510,West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,9322,3156781,445817,2259507,95.0,65.0
511,West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,136618,3440290,926414,2025389,91.0,80.0
512,West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,5357,1914352,2045151,2511004,94.0,52.0
513,West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,7951,2359061,4707573,4390564,96.0,57.0
514,West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,12787,3728482,1382682,2745828,95.0,67.0
515,West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,3551,2373120,227249,1678057,96.0,55.0
516,West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,2883,1482943,1501170,1916033,94.0,50.0
